"bingo","score","player","round","phoney","length","probability","playability"
"STRAFED",85,"Yong Jian Rong",13,FALSE,7,4062,3123
"LONELIER",66,"Vinnith Ramamurti",13,FALSE,8,2253,702
"REALISTS",82,"Vinnith Ramamurti",13,FALSE,8,2789,6659
"CONSENTS",68,"Nigel Richards",13,FALSE,8,23192,16220
"MULTiPART",64,"Nigel Richards",13,FALSE,9,21225,26272
"AEROBiA",68,"Nigel Richards",13,FALSE,7,521,37
"ENDUROS",87,"Ricky Purnomo",13,FALSE,7,1697,10214
"UNSENSED",127,"Victor Gwee",13,FALSE,8,25563,28271
"LABOURED",77,"Victor Gwee",13,FALSE,8,3531,6698
"ARTSIES",80,"Aaron Chong",13,FALSE,7,1802,8496
"ORIENCY",98,"Aaron Chong",13,FALSE,7,3613,1581
"DOLERITE",74,"Hubert Wee",13,FALSE,8,214,151
"LARKIEST",101,"Hubert Wee",13,FALSE,8,3369,14102
"RECRUIT",78,"Hubert Wee",13,FALSE,7,8537,6502
"PARIANS",68,"Martin Teo",13,FALSE,7,7155,13168
"EVASION",85,"Martin Teo",13,FALSE,7,428,101
"AERATED",71,"Jocelyn Lor",13,FALSE,7,1022,420
"NAPOLEAN",72,"Jocelyn Lor",13,TRUE,8,NA,NA
"EROTICA",90,"Jocelyn Lor",13,FALSE,7,93,53
"SUNDIAL",72,"Wong Zhi Yuan",13,FALSE,7,4870,8201
"CLITTERS",70,"Wong Zhi Yuan",13,FALSE,8,10711,5132
"BEWILDER",106,"Marlon Prudencio",13,FALSE,8,13344,12041
"SUIVANTE",72,"Marlon Prudencio",13,FALSE,8,1354,968
"ODONTIST",74,"Marlon Prudencio",13,FALSE,8,10922,6400
"RESIDUA",76,"Yeo Kian Hung",13,FALSE,7,534,237
"SAVORERS",72,"William Kang",13,FALSE,8,18488,20441
"STONIED",68,"William Kang",13,FALSE,7,213,400
"COUNSEL",77,"Michael Tang",13,FALSE,7,8332,20218
"LINTERS",68,"Michael Tang",13,FALSE,7,563,177
"RIBSTONE",77,"Michael Tang",13,FALSE,8,738,1356
"AVULSION",83,"Vannitha Balasingam",13,FALSE,8,5875,5894
"PETALOID",73,"Vannitha Balasingam",13,FALSE,8,674,1711
"ATROPINE",70,"Tony Sim",13,FALSE,8,70,44
"RESILES",84,"Tony Sim",13,FALSE,7,8301,11082
"YEARNER",79,"Alex Tan",13,FALSE,7,6393,5140
"GOATIEST",74,"Alex Tan",13,FALSE,8,1083,521
"NEATEST",75,"Alex Tan",13,FALSE,7,2458,673
"CARGOING",92,"Victor Chua",13,FALSE,8,17995,15946
"ROTULAE",78,"Victor Chua",13,FALSE,7,198,890
"IRISATE",61,"Tan Jin Chor",13,FALSE,7,170,83
"CHAUNTS",85,"Tan Jin Chor",13,FALSE,7,20384,24787
"LAITIES",65,"Hubert Wee",14,FALSE,7,626,84
"OVERLIT",69,"Jocelyn Lor",14,FALSE,7,1267,657
"HERMITS",95,"Jocelyn Lor",14,FALSE,7,9344,10182
"EXERTED",96,"Marlon Prudencio",14,FALSE,7,16463,13730
"AVENTURE",88,"Marlon Prudencio",14,FALSE,8,2037,467
"LEVITATE",90,"Marlon Prudencio",14,FALSE,8,4712,1200
"RINDIEST",83,"Marlon Prudencio",14,FALSE,8,1075,2231
"DENARIUS",69,"Martin Teo",14,FALSE,8,330,2005
"MONITION",77,"Tony Sim",14,FALSE,8,18655,13596
"PIROGIES",67,"Tony Sim",14,FALSE,8,6108,5991
"ENGRAINS",68,"Tony Sim",14,FALSE,8,2084,9336
"CATTIER",78,"Vinnith Ramamurti",14,FALSE,7,2746,8261
"SETLINE",72,"Vinnith Ramamurti",14,FALSE,7,772,979
"REDISTIL",82,"Wong Zhi Yuan",14,FALSE,8,2473,387
"VIRTUAL",74,"Wong Zhi Yuan",14,FALSE,7,6493,5308
"NUDISMS",82,"Alex Tan",14,FALSE,7,26333,27177
"EFFRONT",82,"Victor Gwee",14,TRUE,7,NA,NA
"SPONGER",73,"Tan Jin Chor",14,FALSE,7,7230,6467
"MONIKEr",77,"Aaron Chong",14,FALSE,7,7478,10952
"LOOPIER",66,"Aaron Chong",14,FALSE,7,3664,4017
"TENEBRAE",74,"Aaron Chong",14,FALSE,8,3205,960
"STYRAxES",88,"Aaron Chong",14,FALSE,8,28274,30194
"TOROIDAL",68,"Ricky Purnomo",14,FALSE,8,1404,1452
"SERFDOM",96,"Nigel Richards",14,FALSE,7,14698,20953
"ACCOAST",92,"Nigel Richards",14,FALSE,7,26532,25261
"INVADER",85,"Nigel Richards",14,FALSE,7,825,1010
"VILLAGES",82,"Michael Tang",14,FALSE,8,18650,16873
"MEATIER",70,"Michael Tang",14,FALSE,7,481,1448
"TRIAZINE",69,"Michael Tang",14,FALSE,8,1992,294
"TOUTING",68,"Victor Chua",14,FALSE,7,9522,6466
"REHEATED",74,"Victor Chua",14,FALSE,8,6064,5731
"CONFIRMS",83,"Victor Chua",14,FALSE,8,23800,24129
"FEARSOME",76,"Victor Chua",14,FALSE,8,6166,8712
"MALWARE",75,"William Kang",14,FALSE,7,14021,10078
"PARTING",83,"William Kang",14,FALSE,7,5527,9649
"BHEeSTY",99,"Yeo Kian Hung",14,FALSE,7,24313,22237
"ANOESIS",73,"Yong Jian Rong",14,FALSE,7,1048,640
"ETESIAN",71,"Yong Jian Rong",14,FALSE,7,72,2
"VOGIEST",81,"Yong Jian Rong",14,FALSE,7,3926,2484
"ABOLISH",80,"Shim Yen Nee",14,FALSE,7,13399,13123
"NEOLOGY",103,"Shim Yen Nee",14,FALSE,7,12967,22150
"TAINTURE",68,"Vannitha Balasingam",14,FALSE,8,453,172
"HAVENING",93,"Vannitha Balasingam",14,FALSE,8,15975,12875
"FURORES",82,"Vannitha Balasingam",14,FALSE,7,13790,18937
"rANSELS",69,"Wong Zhi Yuan",15,FALSE,7,7064,3106
"OVERTAME",92,"Wong Zhi Yuan",15,FALSE,8,3313,2293
"iNCLOSED",66,"Vinnith Ramamurti",15,FALSE,8,3574,5165
"STRIDES",77,"Vinnith Ramamurti",15,FALSE,7,7082,5556
"RECENTLY",92,"Michael Tang",15,FALSE,8,13551,7701
"GENNIES",70,"Aaron Chong",15,FALSE,7,6934,10907
"UNCHOSEN",76,"Aaron Chong",15,FALSE,8,23734,26776
"RUBAIYAT",181,"Vannitha Balasingam",15,FALSE,8,15813,12813
"ACHIEVE",80,"Vannitha Balasingam",15,FALSE,7,12508,4498
"MESTIZOS",77,"Vannitha Balasingam",15,FALSE,8,25488,28708
"TuKTOOS",88,"Vannitha Balasingam",15,FALSE,7,28244,23773
"TOWERING",89,"Vannitha Balasingam",15,FALSE,8,1223,935
"REUNITE",83,"Alex Tan",15,FALSE,7,277,2877
"SCARVES",66,"Alex Tan",15,FALSE,7,22610,21937
"GALLIsED",75,"Hubert Wee",15,FALSE,8,11449,12433
"NONSENSE",60,"Hubert Wee",15,FALSE,8,29592,27128
"ENDRINS",68,"Yong Jian Rong",15,FALSE,7,3725,934
"OUTLEaRN",68,"William Kang",15,FALSE,8,129,96
"DEVOTES",77,"Martin Teo",15,FALSE,7,6283,4265
"ETAMiNS",99,"Martin Teo",15,FALSE,7,877,10056
"MORPHING",88,"Martin Teo",15,FALSE,8,26483,24580
"PISTILs",68,"Victor Gwee",15,FALSE,7,26696,22508
"SOUTANE",89,"Jocelyn Lor",15,FALSE,7,201,73
"HALOIDS",76,"Jocelyn Lor",15,FALSE,7,7454,6885
"GRITTIER",70,"Jocelyn Lor",15,FALSE,8,13659,3495
"REGAINED",60,"Marlon Prudencio",15,FALSE,8,340,180
"SLEEPERS",90,"Tony Sim",15,FALSE,8,29102,31896
"GRITTIER",72,"Tony Sim",15,FALSE,8,13659,3495
"EMPIRIC",83,"Tan Jin Chor",15,FALSE,7,20166,15925
"ROBOTIZE",101,"Shim Yen Nee",15,FALSE,8,11883,13189
"STAYNES",83,"Shim Yen Nee",15,FALSE,7,12799,15655
"NEGROES",69,"Nigel Richards",15,FALSE,7,1744,1778
"OLIVInE",69,"Yeo Kian Hung",15,FALSE,7,3075,536
"CROONERS",72,"Yeo Kian Hung",15,FALSE,8,14390,18468
"TAVERNS",79,"Yeo Kian Hung",15,FALSE,7,2082,2949
"ORARIAN",69,"Ricky Purnomo",15,FALSE,7,2208,455
"LANGUETS",83,"Ricky Purnomo",15,FALSE,8,3212,3761
"ROUNdER",69,"Shim Yen Nee",16,FALSE,7,4556,19212
"STIMULi",65,"Aaron Chong",16,FALSE,7,19235,14239
"VIRETOTS",74,"Ricky Purnomo",16,FALSE,8,4594,2163
"AIRPOrT",82,"Ricky Purnomo",16,FALSE,7,5486,8734
"TReNISE",79,"Tan Jin Chor",16,FALSE,7,273,102
"LINTELS",78,"Hubert Wee",16,FALSE,7,7084,10960
"ReVALUE",78,"Hubert Wee",16,FALSE,7,5368,3837
"lEGATEE",77,"Vinnith Ramamurti",16,FALSE,7,5145,2352
"BALLERS",69,"Jocelyn Lor",16,FALSE,7,16781,17022
"ISATINE",66,"Jocelyn Lor",16,FALSE,7,168,14
"SODAINE",86,"Jocelyn Lor",16,FALSE,7,46,265
"CATALOGS",76,"Yong Jian Rong",16,FALSE,8,18003,12216
"HOAGIES",87,"Yong Jian Rong",16,FALSE,7,1764,196
"AnURETIC",70,"Martin Teo",16,FALSE,8,515,372
"FLAPpIER",86,"Martin Teo",16,FALSE,8,25966,29638
"SORRELS",72,"Martin Teo",16,FALSE,7,17448,9795
"RATLINS",73,"Marlon Prudencio",16,FALSE,7,1305,121
"ELYTrOID",74,"Marlon Prudencio",16,FALSE,8,1800,1318
"DEnUDATE",88,"Marlon Prudencio",16,FALSE,8,6530,3942
"ROSINATE",59,"Marlon Prudencio",16,FALSE,8,13,837
"ETCHING",77,"William Kang",16,FALSE,7,11893,9444
"OUTROWS",82,"William Kang",16,FALSE,7,17782,8487
"FORELAY",87,"Wong Zhi Yuan",16,FALSE,7,6590,9635
"OUThOMER",72,"Yeo Kian Hung",16,FALSE,8,15144,15655
"UnLISTED",66,"Yeo Kian Hung",16,FALSE,8,2147,7217
"URINOSE",74,"Yeo Kian Hung",16,FALSE,7,234,90
"SERRANO",84,"Michael Tang",16,FALSE,7,986,188
"STAMINAL",68,"Nigel Richards",16,FALSE,8,9308,12772
"RESINED",84,"Nigel Richards",16,FALSE,7,756,711
"FLUORIDE",71,"Nigel Richards",16,FALSE,8,3585,4390
"CODEINAS",76,"Victor Chua",16,FALSE,8,657,5456
"IRONIST",71,"Victor Chua",16,FALSE,7,1718,182
"PUSHIEST",65,"Vannitha Balasingam",16,FALSE,8,27101,33261
"AGNISES",75,"Vannitha Balasingam",16,FALSE,7,5871,13289
"ARRIDES",69,"Tony Sim",16,FALSE,7,1723,1076
"UNWRoTE",66,"Ricky Purnomo",17,FALSE,7,2728,989
"SINUOSE",69,"Ricky Purnomo",17,FALSE,7,4686,2981
"CAlIGOS",71,"Ricky Purnomo",17,FALSE,7,9934,8338
"TUbULOSE",64,"Yeo Kian Hung",17,FALSE,8,21825,28950
"SALARIED",61,"Shim Yen Nee",17,FALSE,8,991,1401
"SNIRTLE",65,"Shim Yen Nee",17,FALSE,7,565,168
"OREADEs",69,"Victor Chua",17,FALSE,7,373,94
"NOtAIRES",74,"Victor Chua",17,FALSE,8,10,1057
"RADICATE",72,"Victor Chua",17,FALSE,8,1499,882
"WANKIEST",76,"Aaron Chong",17,FALSE,8,8491,21288
"ELUSIVE",84,"Alex Tan",17,FALSE,7,8640,3445
"TOOTLED",92,"Alex Tan",17,FALSE,7,9924,6943
"ALIENATE",61,"Alex Tan",17,FALSE,8,166,16
"PLANCHE",84,"Victor Gwee",17,FALSE,7,19417,13214
"DETOXING",69,"William Kang",17,FALSE,8,6267,2197
"SEVENTY",80,"Hubert Wee",17,FALSE,7,15045,7914
"STOITER",66,"Marlon Prudencio",17,FALSE,7,1016,268
"UNDEFIED",67,"Marlon Prudencio",17,FALSE,8,17541,21085
"THAWERS",86,"Marlon Prudencio",17,FALSE,7,9218,23084
"ELOINED",71,"Vinnith Ramamurti",17,FALSE,7,380,173
"DESEXED",83,"Nigel Richards",17,FALSE,7,29212,27391
"POCKIER",121,"Nigel Richards",17,FALSE,7,17842,22932
"TABOURIN",73,"Nigel Richards",17,FALSE,8,1386,1622
"WEAVERS",80,"Tony Sim",17,FALSE,7,10899,4308
"REBAITED",61,"Wong Zhi Yuan",17,FALSE,8,786,3725
"ERRHINES",86,"Tan Jin Chor",17,FALSE,8,8227,3378
"COPIERS",67,"Martin Teo",17,FALSE,7,6672,16359
"cELESTE",70,"Martin Teo",17,FALSE,7,15792,10031
"RADIANS",69,"Michael Tang",17,FALSE,7,3084,2478
"EARRINGS",61,"Vannitha Balasingam",17,FALSE,8,2089,2470
"BOINKED",87,"Vannitha Balasingam",17,FALSE,7,11435,10977
"TABORING",85,"Vannitha Balasingam",17,FALSE,8,2513,5800
"MARINATE",68,"Michael Tang",18,FALSE,8,624,1707
"PRECISER",74,"Michael Tang",18,FALSE,8,19337,24916
"GOVERNS",81,"Tan Jin Chor",18,FALSE,7,7231,2363
"TURNING",61,"Tan Jin Chor",18,FALSE,7,12102,13356
"COWIEST",80,"Shim Yen Nee",18,FALSE,7,6681,4279
"REPANEL",65,"Shim Yen Nee",18,FALSE,7,2883,3110
"RETICULE",64,"Martin Teo",18,FALSE,8,3961,1740
"DEVASTATED",95,"Martin Teo",18,FALSE,10,19723,7729
"RETICIDE",67,"Marlon Prudencio",18,TRUE,8,NA,NA
"TREENAIL",68,"Marlon Prudencio",18,FALSE,8,40,66
"INSULANT",77,"Marlon Prudencio",18,FALSE,8,7549,7076
"SOLERET",70,"William Kang",18,FALSE,7,1088,156
"ANGRIER",78,"William Kang",18,FALSE,7,1448,5673
"SPANNED",78,"Wong Zhi Yuan",18,FALSE,7,12316,7390
"ARMLOADS",77,"Wong Zhi Yuan",18,FALSE,8,14758,15471
"ORNATER",70,"Yong Jian Rong",18,FALSE,7,368,172
"NITTIEST",62,"Yong Jian Rong",18,FALSE,8,17742,18938
"SULTANS",81,"Jocelyn Lor",18,FALSE,7,18044,18258
"REBASES",74,"Victor Gwee",18,TRUE,7,NA,NA
"INTERNED",68,"Victor Gwee",18,FALSE,8,1630,1034
"DEASOIL",81,"Victor Gwee",18,FALSE,7,171,316
"OTALGIA",75,"Vinnith Ramamurti",18,FALSE,7,3006,1132
"STRAINT",80,"Aaron Chong",18,FALSE,7,3397,1334
"BOOZIER",64,"Aaron Chong",18,FALSE,7,13363,10363
"TRAYNED",85,"Aaron Chong",18,FALSE,7,2055,12987
"AGEUSIA",66,"Tony Sim",18,FALSE,7,2690,367
"RAPTURE",72,"Tony Sim",18,FALSE,7,8513,19434
"WINTLES",84,"Victor Chua",18,FALSE,7,4302,3099
"AGENISED",82,"Victor Chua",18,FALSE,8,890,526
"RUINATES",66,"Victor Chua",18,FALSE,8,99,3187
"ENDGAME",70,"Victor Chua",18,FALSE,7,7491,11998
"ENDARTS",74,"Yeo Kian Hung",18,FALSE,7,539,352
"VIOLATES",62,"Hubert Wee",18,FALSE,8,709,1075
"VARIEDLY",84,"Hubert Wee",18,FALSE,8,7303,6115
"SIENITE",74,"Vannitha Balasingam",18,FALSE,7,1027,59
"PRISTANE",80,"Vannitha Balasingam",18,FALSE,8,540,7065
"ENTOTIC",74,"Ricky Purnomo",18,FALSE,7,3372,4428
"fRAILTEE",74,"Ricky Purnomo",18,FALSE,8,813,1225
"UNBROiLED",83,"Alex Tan",18,FALSE,9,2032,14332
"DISTANT",80,"Victor Gwee",19,FALSE,7,5976,1670
"SCAMMED",73,"Victor Gwee",19,FALSE,7,29104,30369
"LEVIRATE",76,"Vannitha Balasingam",19,FALSE,8,827,353
"DIOXANES",82,"Alex Tan",19,FALSE,8,2102,2064
"CRUMPING",91,"Alex Tan",19,FALSE,8,32318,30825
"SHIVERER",87,"Alex Tan",19,FALSE,8,19362,20764
"ERGATES",75,"Yong Jian Rong",19,FALSE,7,1533,1839
"TETANOID",60,"Yong Jian Rong",19,FALSE,8,172,245
"STRIATA",69,"Yong Jian Rong",19,FALSE,7,6757,2196
"GULLETS",80,"Hubert Wee",19,FALSE,7,21408,21850
"CABRIES",83,"Aaron Chong",19,FALSE,7,5586,23118
"TINGLER",68,"Aaron Chong",19,FALSE,7,1039,2159
"ENsHIELD",87,"Tan Jin Chor",19,FALSE,8,6825,5605
"STINGIER",63,"Tan Jin Chor",19,FALSE,8,1984,5751
"AVERRING",71,"Shim Yen Nee",19,FALSE,8,5671,3190
"SEAMIER",70,"Shim Yen Nee",19,FALSE,7,1366,4881
"SCORIaE",73,"Shim Yen Nee",19,FALSE,7,404,458
"BUNTERS",97,"Ricky Purnomo",19,FALSE,7,7577,19175
"LEAVIESt",95,"Ricky Purnomo",19,FALSE,8,1967,6720
"SOuTANE",72,"William Kang",19,FALSE,7,201,73
"LITERARY",62,"William Kang",19,FALSE,8,3723,2565
"SpARRED",78,"Vinnith Ramamurti",19,FALSE,7,12319,13728
"AVIATION",90,"Michael Tang",19,FALSE,8,4064,994
"UNLINES",61,"Michael Tang",19,FALSE,7,6778,3768
"TAEDIUm",68,"Martin Teo",19,FALSE,7,1959,2809
"STATICS",72,"Martin Teo",19,FALSE,7,24467,23919
"REGGAES",81,"Martin Teo",19,FALSE,7,13856,27085
"DILaTED",77,"Yeo Kian Hung",19,FALSE,7,3771,4282
"NEINEIS",84,"Yeo Kian Hung",19,FALSE,7,5563,562
"SONATINE",68,"Wong Zhi Yuan",19,FALSE,8,180,1254
"DROOLINg",60,"Wong Zhi Yuan",19,FALSE,8,8325,7892
"REGLAZED",123,"Jocelyn Lor",19,FALSE,8,14888,8366
"SOOTIER",89,"Jocelyn Lor",19,FALSE,7,467,1110
"MEDUSAS",80,"Victor Chua",19,FALSE,7,20792,27532
"IDEALIST",70,"Victor Chua",19,FALSE,8,994,808
"TENOURS",67,"Victor Chua",19,FALSE,7,670,1225
"BANDEROL",76,"Nigel Richards",19,FALSE,8,1662,2432
"UNHELES",71,"Nigel Richards",19,FALSE,7,12623,10384
"AUSTERE",73,"Nigel Richards",19,FALSE,7,749,78
"EMIGRANT",78,"Marlon Prudencio",19,FALSE,8,981,2251
"DANGLED",74,"Ricky Purnomo",20,FALSE,7,13459,16683
"SAURIAN",77,"Ricky Purnomo",20,FALSE,7,3090,2679
"FANATiCs",94,"Martin Teo",20,FALSE,8,15818,10832
"MOIETIES",61,"Martin Teo",20,FALSE,8,2716,1413
"AUNTIES",69,"Alex Tan",20,FALSE,7,147,72
"IRONICAL",74,"Alex Tan",20,FALSE,8,3496,1444
"ROYALISE",72,"Alex Tan",20,FALSE,8,708,543
"ENTRAINS",77,"Alex Tan",20,FALSE,8,440,392
"OTTERING",61,"Shim Yen Nee",20,FALSE,8,1133,361
"SUDATES",70,"Shim Yen Nee",20,FALSE,7,11029,10609
"SODAINE",76,"Tan Jin Chor",20,FALSE,7,46,265
"FERMIOn",80,"Yong Jian Rong",20,FALSE,7,3617,4434
"GOAnNAS",67,"Yong Jian Rong",20,FALSE,7,14165,10496
"OVERLIE",68,"Tony Sim",20,FALSE,7,1616,964
"AQUIFERS",90,"William Kang",20,FALSE,8,12770,4467
"TRIBALS",80,"Victor Chua",20,FALSE,7,6439,5558
"WEAKEST",67,"Vinnith Ramamurti",20,FALSE,7,15731,17102
"LORDING",73,"Aaron Chong",20,FALSE,7,4802,11806
"ALSOONE",68,"Aaron Chong",20,FALSE,7,1319,175
"CEROONS",81,"Nigel Richards",20,FALSE,7,6812,5680
"FATIGATE",64,"Nigel Richards",20,FALSE,8,10056,5016
"STEELIER",78,"Nigel Richards",20,FALSE,8,2390,2842
"EBONICS",106,"Nigel Richards",20,FALSE,7,6626,4676
"MILLAGE",70,"Nigel Richards",20,FALSE,7,15455,22297
"HIDALGO",82,"Hubert Wee",20,FALSE,7,9935,5339
"PRoCURED",74,"Hubert Wee",20,FALSE,8,23729,28704
"UNMOVING",65,"Hubert Wee",20,FALSE,8,29313,23244
"INFLATED",66,"Michael Tang",20,FALSE,8,1268,785
"TOLUENES",74,"Michael Tang",20,FALSE,8,1574,1103
"CANTLES",77,"Jocelyn Lor",20,FALSE,7,4045,10784
"RESCALED",71,"Victor Gwee",20,FALSE,8,6769,9501
"SWEETING",83,"Victor Gwee",20,FALSE,8,5969,6152
"MORAINE",65,"Yeo Kian Hung",20,FALSE,7,94,533
"GIRTHED",68,"Yeo Kian Hung",20,FALSE,7,6175,7371
"SIEVERT",87,"Wong Zhi Yuan",20,FALSE,7,2999,11004
"LOGICISE",76,"Wong Zhi Yuan",20,FALSE,8,9931,6032
"DIETINE",66,"Vannitha Balasingam",20,FALSE,7,1026,152
